owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
PPA,amortized_cost,OffshoreWind,2040,1,,,,,,,,,,,,,,,,,,,,,15413462.98258951,15413462.98258951,15413462.98258951,15413462.98258951,15413462.98258951,15413462.98258951,15413462.98258951,15413462.98258951,15413462.98258951,15413462.98258951
PPA,amortized_cost,OnshoreWind,2011,1,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,13721179.70728682,,,,,
PPA,amortized_cost,OnshoreWind,2012,1,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,23899666.693743035,,,,,
PPA,amortized_cost,OnshoreWind,2020,1,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794,3879466.213762794
PPA,amortized_cost,OnshoreWind,2045,1,,,,,,,,,,,,,,,,,,,,,,,,,,38886213.317534015,38886213.317534015,38886213.317534015,38886213.317534015,38886213.317534015
PPA,capacity_added,Battery_Bulk,2022,0,,,139.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPA,capacity_added,Battery_Bulk,2040,0,,,,,,,,,,,,,,,,,,,,,185.706116986676,,,,,,,,,
PPA,capacity_added,Battery_Bulk,2045,0,,,,,,,,,,,,,,,,,,,,,,,,,,497.96650105823716,,,,
PPA,capacity_added,CentralTrackingPV,2020,1,13.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPA,capacity_added,CentralTrackingPV,2022,1,,,849.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPA,capacity_added,CentralTrackingPV,2045,1,,,,,,,,,,,,,,,,,,,,,,,,,,1751.4700585725816,,,,
PPA,capacity_added,OffshoreWind,2030,1,,,,,,,,,,,50.310790755071324,,,,,,,,,,,,,,,,,,,
PPA,capacity_added,OffshoreWind,2035,1,,,,,,,,,,,,,,,,279.51081113929865,,,,,,,,,,,,,,
PPA,capacity_added,OffshoreWind,2040,1,,,,,,,,,,,,,,,,,,,,,58.96093531240231,,,,,,,,,
PPA,capacity_added,OnshoreWind,2020,1,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPA,capacity_added,OnshoreWind,2045,1,,,,,,,,,,,,,,,,,,,,,,,,,,348.8439810538184,,,,
PPA,capacity_in_place,AES,1992,0,180.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPA,capacity_in_place,Battery_Bulk,2022,0,,,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,,,,,,,,,,
PPA,capacity_in_place,Battery_Bulk,2040,0,,,,,,,,,,,,,,,,,,,,,185.706116986676,185.706116986676,185.706116986676,185.706116986676,185.706116986676,185.706116986676,185.706116986676,185.706116986676,185.706116986676,185.706116986676
PPA,capacity_in_place,Battery_Bulk,2045,0,,,,,,,,,,,,,,,,,,,,,,,,,,497.96650105823716,497.96650105823716,497.96650105823716,497.96650105823716,497.96650105823716
PPA,capacity_in_place,CentralTrackingPV,2012,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,
PPA,capacity_in_place,CentralTrackingPV,2016,1,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
PPA,capacity_in_place,CentralTrackingPV,2019,1,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6,129.6
PPA,capacity_in_place,CentralTrackingPV,2020,1,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49
PPA,capacity_in_place,CentralTrackingPV,2022,1,,,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5,849.5
PPA,capacity_in_place,CentralTrackingPV,2045,1,,,,,,,,,,,,,,,,,,,,,,,,,,1751.4700585725816,1751.4700585725816,1751.4700585725816,1751.4700585725816,1751.4700585725816
PPA,capacity_in_place,H-Power,1989,0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
PPA,capacity_in_place,Kalaeloa_CC1,1989,0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
PPA,capacity_in_place,Kalaeloa_CC2,1991,0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
PPA,capacity_in_place,Kalaeloa_CC3,1991,0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
PPA,capacity_in_place,OffshoreWind,2030,1,,,,,,,,,,,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324,50.310790755071324
PPA,capacity_in_place,OffshoreWind,2035,1,,,,,,,,,,,,,,,,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865,279.51081113929865
PPA,capacity_in_place,OffshoreWind,2040,1,,,,,,,,,,,,,,,,,,,,,58.96093531240231,58.96093531240231,58.96093531240231,58.96093531240231,58.96093531240231,58.96093531240231,58.96093531240231,58.96093531240231,58.96093531240231,58.96093531240231
