load_zone,period,AES,Airport_DSG,Battery_Bulk,Battery_Conting,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Waiau_10,Waiau_6,Waiau_7,Waiau_8,Waiau_9,GeneratePumpedHydro
Oahu,2033,0,0.6908390646492433,390.43584982807675,0.0,16.79786032087907,2336.462272387359,336.0181241452783,1113.3874313395356,374.92800000000005,97.1633535573211,0,0,0,0,413.0799773674587,179.9474135093136,745.1757183006544,641.2753782668501,154.35004022323255,866.7001052003241,385.7363251375729,406.496224436756,0.9182737276478679,0,0,0,1.4716569134220019,313.42041869200716
Oahu,2034,0,0.3936176066024752,395.2383509789147,0.0,20.881815680880337,2315.857295274655,367.82485642468237,1168.011480466734,374.92800000000045,147.2578180188511,0,0,0,0,393.7683708085864,81.83293726453013,731.8908609368343,558.0433287482803,134.88299129015508,1086.6704295931443,380.58370472993164,403.22362563367255,4.674071986735099,0,0,0,3.7973129781413313,297.0995658779207
Oahu,2035,0,0.3936176066024752,394.00967017856703,0.0,20.695048143053654,2277.545866961086,353.9620565429828,1170.5699032960329,374.92800000000005,108.58997341190648,0,0,0,0,321.3261797406729,147.8087888224138,665.6453071612158,561.7221266718642,100.59837098608779,1300.9638189507648,386.82835610908603,443.8464207978306,4.39162249418558,0,0,0,1.7773039889958744,317.6255816744845
Oahu,2036,0,0.3936176066024752,462.9219384254058,0.0,11.32450586011668,2344.1192948378016,376.9385089290747,1150.2146342850397,374.92800000000045,133.1037531924052,0,0,0,0,325.34261881776905,144.98716497090308,763.532806052269,451.94731774415425,109.18793946664215,1297.6330949225005,379.7765282837353,502.624641858022,0.8768033012379646,0,0,0,1.273734525447043,295.6628508433203
Oahu,2037,0,0.3936176066024752,486.3021096913716,0.0,7.546011004126549,2305.021721289186,418.00569147716567,1201.7560462571712,374.92800000000005,131.15323191049941,0,0,0,0,318.0874709028142,136.75222560965838,669.0495185694643,521.3073590096291,110.62746629632485,1328.2765066197715,386.36428255047525,556.075647272546,5.2752278462494395,0,0,0,0.7997867950481423,269.37977429804465
Oahu,2038,0,0.0,550.2080050829678,0.0,5.331911966987626,2344.4097944738255,396.5018512597193,1178.739173971804,374.92800000000045,138.59641309711532,0,0,0,0,372.00480290543675,79.77842730725465,741.3918156808796,447.1576341127924,116.48008353477812,1348.1314347674445,386.18877034163796,609.7901823998594,2.6336231086657422,0,0,0,3.8173539030963233,255.31901227179966
Oahu,2039,0,0.6908390646492433,556.3933430028999,0.0,11.60745581592711,2327.1049560833394,401.2331918093752,1183.6699770023718,374.92800000000005,150.33523101648635,0,0,0,0,341.48063981842006,90.08402026043703,757.6251380622283,460.7133425034391,122.10562969744532,1382.7513060292335,386.9576543915568,665.1733678352997,1.1078528198074273,0,0,0,0.0,285.4038231718053
Oahu,2040,0,0.0,698.2191553044345,0.0,3.2081843191196704,2354.0922745359017,379.79987593830003,1194.7051190762436,374.92800000000045,168.4349003889433,0,0,0,0,373.9999230134532,87.4450027959446,754.4655433287477,442.006464924347,116.23755701398292,1398.5325133930314,384.95976775815035,731.2636987097464,0.0,0,0,0,0.40877991746905096,249.21352545265998
Oahu,2041,0,0.0,725.5773471065688,0.0,0.0,2849.644933576518,464.27936061345963,1127.9817680327233,374.92800000000005,87.15499119669884,0,0,0,0,240.66108242854156,30.100606891449235,706.8843680253697,355.3834800550207,92.95337585445364,1362.6165919074888,555.6728600546987,726.238155753704,0.2902929848693255,0,0,0,0.0,329.1020924774256
Oahu,2042,0,0.0,900.1398392059509,0.0,0.0,3281.870435450676,389.8345269957458,1069.005713454135,374.92800000000045,53.945694635488344,0,0,0,0,93.95524532715403,18.459136550818748,684.2415653271081,291.1889655816855,66.33837055928407,1261.9661692488003,708.346603652966,746.137609698207,0.0,0,0,0,0.2902929848693255,352.02227151720535
Oahu,2043,0,0.0,960.6962273647346,0.0,0.0,3552.9639752374965,357.140032121406,968.6185222723262,374.92800000000005,8.647658321870711,0,0,0,0,78.94828277926825,18.433955983493796,702.637551581845,178.66423658872074,25.4444635922125,1332.537426566599,836.1945281964178,714.5191883635295,0.0,0,0,0,0.0,394.7028005976285
Oahu,2044,0,0.0,969.9051332493542,0.0,0.0,4038.9838178121636,351.70042217452766,747.6605839245954,374.92800000000045,25.2273478369574,0,0,0,0,45.13699900902217,18.34701693110338,686.2538343074431,111.06643741403033,22.928727695848174,1175.358185062819,995.1028930350608,718.1775554210892,0.0,0,0,0,0.0,431.98274746611054
Oahu,2045,0,1.3495460797799173,1173.6071594047146,0.0,19.06233837689133,4383.310047126168,431.5929564876507,898.6473064356396,374.92800000000005,47.112573314993114,0,0,0,0,0,0,78.98459422283365,66.15185694635497,13.973425034387937,1273.0946172309284,1169.7085299171868,766.9073057587575,6.313345254470427,0,0,0,5.205592847317744,420.08419371079117
