owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,total_output,2549810.0861278167,2110348.114652714,2051863.9716243811,1967188.2386904475,1904275.8285704197,1770944.3857824428,1697766.13748074,1602312.535411134,1515770.4814600823,1378620.941822528,1209374.9837402767,972569.2790810659,835467.7760536725,710069.3744606912,652605.9443443266,604982.5342078302,617302.1982744813,600007.5716749984,602162.5322885563,595306.038795727,633496.7904349294,358206.9735015592,166650.36949833043,106029.89708463277,88711.36377708294,79043.39587345257,79043.39587345257,79043.39587345257,79043.39587345257,79043.39587345257
HECO,variable_om,27293921.369289752,23351873.094768528,23585237.48388017,22641690.739513665,22091660.106299825,21148871.405161045,20493315.577680297,19614807.00065041,18599470.706570562,17095789.73941978,15200143.91635026,12378639.090699438,10889638.289186731,8500205.210979749,8421344.082445707,7475066.952262873,8001494.961606354,7779148.510014595,7899326.100588143,7992891.629550899,8666842.107032394,4812187.613146008,2400903.945741268,1215752.6512009946,1237006.9462993485,1179410.5784853604,1179410.5784853604,1179410.5784853604,1179410.5784853604,1179410.5784853604
PPA,amortized_cost,121303840.4175304,147250227.79455152,203777098.02564332,208062324.49341106,212532008.2943004,219820037.23619857,223279948.87938908,226630385.69331908,234107701.43961,240078152.80490845,245211902.3563424,266461360.4789579,286952027.7438999,306300999.8841956,325016780.4302742,343124482.5063573,344486240.15176034,348817626.4723484,354165262.2259864,357361761.262778,365305585.263567,395465717.6267494,431315303.2340703,478532905.986284,517960292.8020934,569941133.5724168,569941133.5724168,569941133.5724168,569941133.5724168,569941133.5724168
PPA,capacity_added,36.2425,280.2475,710.0,9.244166797459147,9.244166797459147,9.244166797459147,7.07885644231418,7.0788564423141755,7.0788564423141755,7.078856442314184,7.078856442314187,58.944821669961826,58.94482166996181,58.94482166996186,58.94482166996181,58.94482166996181,175.7943747406806,36.29437474068064,36.29437474068061,36.29437474068064,36.29437474068064,506.21849984000676,550.2184998400066,476.21849984000664,476.218499840007,476.21849984000664,0.0,0.0,0.0,0.0
PPA,capacity_in_place,758.4425,1038.69,1568.69,1577.9341667974593,1587.1783335949185,1596.4225003923777,1603.501356834692,1610.5802132770061,1617.6590697193203,1624.7379261616345,1631.8167826039487,1690.7616042739105,1749.7064259438723,1808.6512476138341,1867.596069283796,1926.5408909537578,1962.8352656944382,1999.1296404351187,2035.4240151757995,2071.71838991648,2108.012764657161,2584.23126449717,3060.449764337176,3536.668264177182,4012.8867640171893,4489.105263857196,4489.105263857196,4489.105263857196,4489.105263857196,4489.105263857196
PPA,capacity_retired,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.5,0.0,0.0,0.0,0.0,30.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPA,capital_outlay,70436807.73331076,311785778.47554123,1197437336.6977425,58985418.774716504,60171783.537295274,86963448.75843774,45566922.480949774,44093895.94845635,83781806.155609,68769135.16886066,60280337.00494099,290248460.1064444,280095971.31268543,266335334.46604392,257619559.08510157,249249461.61875835,129810042.51695067,78239889.8874149,59315537.13519674,41432393.3915376,116080643.81548053,600584405.6760783,800560833.2282577,649976468.8349214,559136648.3471702,671680300.8219059,0.0,0.0,0.0,0.0
PPA,fixed_om,39190325.80259542,45572369.266365156,40107022.210384294,40829404.36784205,41531443.56854753,42213712.68917714,42721457.39072473,43214903.52689645,43694453.75865792,44160499.40766558,44613420.77559228,48278637.975908026,51840639.23404698,55302331.207415104,58666538.69922887,61936006.963605955,61136144.49602063,62062255.13544795,62970729.05596019,63861837.70494896,64735844.88559367,71150273.73055813,76829807.80664721,83530816.49756941,90157804.5188075,96710771.87036145,96710771.87036145,96710771.87036145,96710771.87036145,96710771.87036145
PPA,fuel_cost,340135435.97802603,307443502.1780081,184515192.77617088,186139711.59039104,192311010.33548418,197982894.5014052,203817562.49588257,209073837.85868573,212763967.02982545,216749187.19931406,225534888.7881345,230120985.5942157,232329803.984108,227006357.6094212,212940760.2200968,202208436.4824933,203543751.62219587,201559661.2214196,203693735.11215848,210715006.9457162,207676083.86604115,187344610.35502595,170624318.13697377,150044586.58929625,136825854.93921626,46917853.1438513,46917853.1438513,46917853.1438513,46917853.1438513,46917853.1438513
PPA,non_renewable_output,3053716.012192332,3373486.3463140833,1673923.8168181407,1646181.774666094,1629848.8288834486,1625574.9870490066,1603604.2769825116,1595707.7185870097,1586974.609098882,1582797.9396247454,1620295.0702896274,1623044.6758619861,1611006.9170476198,1540801.136790738,1424817.180975271,1327965.804819168,1324668.063263067,1300984.3438754184,1305029.5333284521,1340444.110263113,1312709.565267079,1155221.223934845,1041768.9014680804,906746.2517627784,820248.9994173243,8.986928884089404e-11,8.986928884089404e-11,8.986928884089404e-11,8.986928884089404e-11,8.986928884089404e-11
