PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2036,FuelCostsPerPeriod,annual,203614562.47337064,336543847.4801595
2036,GenVariableOMCostsInTP,timepoint,41488052.9148415,68573430.02786095
2036,Pumped_Hydro_Fixed_Cost_Annual,annual,21594337.91912938,35692150.30010912
2036,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2036,StorageEnergyFixedCost,annual,13541047.936531764,22381289.020374827
2036,TotalGenCapitalCostsSubsidy,annual,-17202855.123101633,-28433698.358532522
2036,TotalGenFixedCosts,annual,454135363.27051884,750616559.9125493
2036,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2037,FuelCostsPerPeriod,annual,192293867.5667281,327367437.6192858
2037,GenVariableOMCostsInTP,timepoint,40114078.91182346,68291534.16067474
2037,Pumped_Hydro_Fixed_Cost_Annual,annual,20965376.620513957,35692150.30010912
2037,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2037,StorageEnergyFixedCost,annual,16480879.309201723,28057593.814289704
2037,TotalGenCapitalCostsSubsidy,annual,-16701801.090389933,-28433698.358532522
2037,TotalGenFixedCosts,annual,445443316.776059,758337429.3879229
2037,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2038,FuelCostsPerPeriod,annual,183669176.6775839,322065013.06783116
2038,GenVariableOMCostsInTP,timepoint,38852532.386181995,68128150.71654429
2038,Pumped_Hydro_Fixed_Cost_Annual,annual,20354734.58302326,35692150.30010912
2038,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2038,StorageEnergyFixedCost,annual,19314230.135366447,33867619.45288925
2038,TotalGenCapitalCostsSubsidy,annual,-16215340.864456246,-28433698.358532522
2038,TotalGenFixedCosts,annual,438109339.0249488,768227377.8898561
2038,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2039,FuelCostsPerPeriod,annual,177678038.04657364,320906300.6699365
2039,GenVariableOMCostsInTP,timepoint,37630993.31846711,67965759.80425316
2039,Pumped_Hydro_Fixed_Cost_Annual,annual,19761878.235944916,35692150.30010912
2039,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2039,StorageEnergyFixedCost,annual,21923899.09143325,39597000.456796184
2039,TotalGenCapitalCostsSubsidy,annual,-15743049.38296723,-28433698.358532522
2039,TotalGenFixedCosts,annual,430711259.7409207,777912445.1166936
2039,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,FuelCostsPerPeriod,annual,172850051.28030047,321552012.1164513
2040,GenVariableOMCostsInTP,timepoint,36650002.758815706,68179801.18536298
